a,la
<http://bk.sport.owl#diego-palacios>,"Diego Palacios"@en
<http://bk.sport.owl#diego-palacios>,"diego palacios"@en
<http://bk.sport.owl#jerome-gondorf>,"jerome gondorf"@en
<http://bk.sport.owl#youssef-en-nesyri>,"Youssef En-Nesyri"@en
<http://bk.sport.owl#youssef-en-nesyri>,"youssef en nesyri"@en
<http://bk.sport.owl#allan-nyom>,"allan nyom"@en
<http://bk.sport.owl#allan-nyom>,"Allan Nyom"@en
<http://bk.sport.owl#allan-nyom>,"Nyom"
<http://bk.sport.owl#gervane-kastaneer>,"gervane kastaneer"@en
<http://bk.sport.owl#gervane-kastaneer>,"Gervane Kastaneer"@en
<http://bk.sport.owl#murilo>,"Murilo"@en
<http://bk.sport.owl#murilo>,"murilo"@en
<http://bk.sport.owl#mehdi-bourabia>,"mehdi bourabia"@en
<http://bk.sport.owl#mehdi-bourabia>,"Mehdi Bourabia"@en
<http://bk.sport.owl#lasha-parunashvili>,"Lasha Parunashvili"@en
<http://bk.sport.owl#lasha-parunashvili>,"lasha parunashvili"@en
<http://bk.sport.owl#vladyslav-khameliuk>,"vladyslav khameliuk"@en
<http://bk.sport.owl#kelvin-amian>,"Kelvin Amian"@en
<http://bk.sport.owl#kelvin-amian>,"kelvin amian"@en
<http://bk.sport.owl#frantzdy-pierrot>,"frantzdy pierrot"@en
<http://bk.sport.owl#frantzdy-pierrot>,"Frantzdy Pierrot"@en
<http://bk.sport.owl#inigo-martinez>,"inigo martinez"@en
<http://bk.sport.owl#jasmin-kurtic>,"Jasmin Kurtic"@en
<http://bk.sport.owl#jasmin-kurtic>,"jasmin kurtic"@en
<http://bk.sport.owl#jasmin-kurtic>,"Kurtic"
<http://bk.sport.owl#michal-papadopulos>,"Michal Papadopulos"@en
<http://bk.sport.owl#michal-papadopulos>,"michal papadopulos"@en
<http://bk.sport.owl#ruben-mino>,"ruben mino"@en
<http://bk.sport.owl#ruben-mino>,"Rub\u00C3\u00A9n Mi\u00C3\u00B1o"@en
<http://bk.sport.owl#chidi-dauda-omeje>,"chidi dauda omeje"@en
<http://bk.sport.owl#chidi-dauda-omeje>,"Chidi Dauda Omeje"@en
<http://bk.sport.owl#dejan-lovren>,"dejan lovren"@en
<http://bk.sport.owl#dejan-lovren>,"Dejan Lovren"@en
<http://bk.sport.owl#dejan-lovren>,"Lovren"
<http://bk.sport.owl#vincent-laurini>,"Vincent Laurini"@en
<http://bk.sport.owl#vincent-laurini>,"vincent laurini"@en
<http://bk.sport.owl#vincent-laurini>,"Laurini"
<http://bk.sport.owl#hlib-hrachov>,"Hlib Hrachov"@en
<http://bk.sport.owl#hlib-hrachov>,"hlib hrachov"@en
<http://bk.sport.owl#joan-roman>,"Joan Roman"@en
<http://bk.sport.owl#joan-roman>,"joan roman"@en
<http://bk.sport.owl#vaclav-jemelka>,"vaclav jemelka"@en
<http://bk.sport.owl#vaclav-jemelka>,"Vaclav Jemelka"@en
<http://bk.sport.owl#tomas-smola>,"tomas smola"@en
<http://bk.sport.owl#tomas-smola>,"Tomas Smola"@en
<http://bk.sport.owl#constantin-frommann>,"Constantin Frommann"@en
<http://bk.sport.owl#constantin-frommann>,"constantin frommann"@en
