a,b,la,lb
<http://bk.sport.owl#alexandru-mitrita>,<http://bk.sport.owl#cs-universitatea-craiova>,"Alexandru Mitrita"@en,"CS Universitatea Craiova"@en
<http://bk.sport.owl#ferrie-bodde>,<http://bk.sport.owl#swansea-city>,"Ferrie Bodde"@en,"Swansea City"@en
<http://bk.sport.owl#ferrie-bodde>,<http://bk.sport.owl#swansea-city-fc>,"Ferrie Bodde"@en,"Swansea City"@en
<http://bk.sport.owl#andreas-bruhn>,<http://bk.sport.owl#randers>,"Andreas Bruhn"@en,"Randers FC"@en
<http://bk.sport.owl#diego-palacios>,<http://bk.sport.owl#willem-ii-tilburg>,"Diego Palacios"@en,"Willem II Tilburg"@en
<http://bk.sport.owl#diego-palacios>,<http://bk.sport.owl#willem-ii-tilburg>,"diego palacios"@en,"Willem II Tilburg"@en
<http://bk.sport.owl#jerome-gondorf>,<http://bk.sport.owl#sc-freiburg>,"jerome gondorf"@en,"SC Freiburg"@en
<http://bk.sport.owl#youssef-en-nesyri>,<http://bk.sport.owl#cd-legan\u00E9s>,"Youssef En-Nesyri"@en,"CD Legan\u00E9s"@en
<http://bk.sport.owl#youssef-en-nesyri>,<http://bk.sport.owl#cd-legan\u00E9s>,"youssef en nesyri"@en,"CD Legan\u00E9s"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#cd-legan\u00E9s>,"allan nyom"@en,"CD Legan\u00E9s"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#cd-legan\u00E9s>,"Allan Nyom"@en,"CD Legan\u00E9s"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#cd-legan\u00E9s>,"Nyom","CD Legan\u00E9s"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#watford-fc>,"allan nyom"@en,"Watford"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#watford-fc>,"Allan Nyom"@en,"Watford"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#watford-fc>,"Nyom","Watford"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#watford>,"allan nyom"@en,"Watford FC"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#watford>,"allan nyom"@en,"Watford"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#watford>,"Allan Nyom"@en,"Watford FC"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#watford>,"Allan Nyom"@en,"Watford"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#watford>,"Nyom","Watford FC"@en
<http://bk.sport.owl#allan-nyom>,<http://bk.sport.owl#watford>,"Nyom","Watford"@en
<http://bk.sport.owl#gervane-kastaneer>,<http://bk.sport.owl#nac-breda>,"gervane kastaneer"@en,"NAC Breda"@en
<http://bk.sport.owl#gervane-kastaneer>,<http://bk.sport.owl#nac-breda>,"Gervane Kastaneer"@en,"NAC Breda"@en
<http://bk.sport.owl#aykut-\u00F6zer>,<http://bk.sport.owl#fortuna-sittard-\u00A0>,"Aykut \u00D6zer"@en,"Fortuna Sittard \u00A0"@en
<http://bk.sport.owl#murilo>,<http://bk.sport.owl#sc-braga>,"Murilo"@en,"SC Braga"@en
<http://bk.sport.owl#murilo>,<http://bk.sport.owl#sc-braga>,"murilo"@en,"SC Braga"@en
<http://bk.sport.owl#murilo>,<http://bk.sport.owl#rio-ave>,"Murilo"@en,"Rio Ave FC"@en
<http://bk.sport.owl#murilo>,<http://bk.sport.owl#rio-ave>,"murilo"@en,"Rio Ave FC"@en
<http://bk.sport.owl#mehdi-bourabia>,<http://bk.sport.owl#us-sassuolo>,"mehdi bourabia"@en,"US Sassuolo"@en
<http://bk.sport.owl#mehdi-bourabia>,<http://bk.sport.owl#us-sassuolo>,"Mehdi Bourabia"@en,"US Sassuolo"@en
<http://bk.sport.owl#lasha-parunashvili>,<http://bk.sport.owl#esbjerg-fb>,"Lasha Parunashvili"@en,"Esbjerg fB"@en
<http://bk.sport.owl#lasha-parunashvili>,<http://bk.sport.owl#esbjerg-fb>,"lasha parunashvili"@en,"Esbjerg fB"@en
<http://bk.sport.owl#vladyslav-khameliuk>,<http://bk.sport.owl#chornomorets-odessa>,"vladyslav khameliuk"@en,"Chornomorets Odessa"@en
<http://bk.sport.owl#luca-rizzo>,<http://bk.sport.owl#bologna-1909>,"Rizzo","Bologna FC 1909"@en
<http://bk.sport.owl#kelvin-amian>,<http://bk.sport.owl#fc-toulouse>,"Kelvin Amian"@en,"FC Toulouse"@en
<http://bk.sport.owl#kelvin-amian>,<http://bk.sport.owl#fc-toulouse>,"kelvin amian"@en,"FC Toulouse"@en
<http://bk.sport.owl#danny-murphy>,<http://bk.sport.owl#fulham>,"Danny Murphy"@en,"Fulham"@en
<http://bk.sport.owl#danny-murphy>,<http://bk.sport.owl#fulham-fc>,"Danny Murphy"@en,"Fulham"@en
<http://bk.sport.owl#frantzdy-pierrot>,<http://bk.sport.owl#royal-excel-mouscron>,"frantzdy pierrot"@en,"Royal Excel Mouscron"@en
<http://bk.sport.owl#frantzdy-pierrot>,<http://bk.sport.owl#royal-excel-mouscron>,"Frantzdy Pierrot"@en,"Royal Excel Mouscron"@en
<http://bk.sport.owl#vlad-olteanu>,<http://bk.sport.owl#dinamo-bukarest>,"Vlad Olteanu"@en,"Dinamo Bukarest"@en
<http://bk.sport.owl#hj\u00F6rtur-hermannsson>,<http://bk.sport.owl#br\u00F6ndby-if>,"Hj\u00F6rtur Hermannsson"@en,"Br\u00F6ndby IF"@en
<http://bk.sport.owl#hiago>,<http://bk.sport.owl#kalmar-ff>,"Hiago"@en,"Kalmar FF"@en
<http://bk.sport.owl#gonzalo-jara>,<http://bk.sport.owl#1.fsv-mainz-05>,"Jara","1.FSV Mainz 05"@en
<http://bk.sport.owl#modibo-maoga>,<http://bk.sport.owl#west-ham-united>,"Maoga","West Ham United"@en
<http://bk.sport.owl#curtis-good>,<http://bk.sport.owl#newcastle-united>,"Good","Newcastle United"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#wigan-athletic-fc>,"Ben Watson"@en,"Wigan Athletic"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#wigan-athletic-fc>,"Watson","Wigan Athletic"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#watford-fc>,"Ben Watson"@en,"Watford"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#watford-fc>,"Watson","Watford"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#wigan-athletic>,"Ben Watson"@en,"Wigan Athletic"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#wigan-athletic>,"Watson","Wigan Athletic"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#watford>,"Ben Watson"@en,"Watford FC"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#watford>,"Ben Watson"@en,"Watford"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#watford>,"Watson","Watford FC"@en
<http://bk.sport.owl#ben-watson>,<http://bk.sport.owl#watford>,"Watson","Watford"@en
<http://bk.sport.owl#inigo-martinez>,<http://bk.sport.owl#athletic-bilbao>,"inigo martinez"@en,"Athletic Bilbao"@en
<http://bk.sport.owl#mile-jedinak>,<http://bk.sport.owl#crystal-palace>,"Jedinak","Crystal Palace"@en
<http://bk.sport.owl#jasmin-kurtic>,<http://bk.sport.owl#spal>,"Jasmin Kurtic"@en,"SPAL"@en
<http://bk.sport.owl#jasmin-kurtic>,<http://bk.sport.owl#spal>,"jasmin kurtic"@en,"SPAL"@en
<http://bk.sport.owl#jasmin-kurtic>,<http://bk.sport.owl#spal>,"Kurtic","SPAL"@en
<http://bk.sport.owl#jasmin-kurtic>,<http://bk.sport.owl#atalanta-bc>,"Jasmin Kurtic"@en,"Atalanta BC"@en
<http://bk.sport.owl#jasmin-kurtic>,<http://bk.sport.owl#atalanta-bc>,"jasmin kurtic"@en,"Atalanta BC"@en
<http://bk.sport.owl#jasmin-kurtic>,<http://bk.sport.owl#atalanta-bc>,"Kurtic","Atalanta BC"@en
<http://bk.sport.owl#michal-papadopulos>,<http://bk.sport.owl#piast-gliwice>,"Michal Papadopulos"@en,"Piast Gliwice"@en
<http://bk.sport.owl#michal-papadopulos>,<http://bk.sport.owl#piast-gliwice>,"michal papadopulos"@en,"Piast Gliwice"@en
<http://bk.sport.owl#ruben-mino>,<http://bk.sport.owl#barcelona-fc>,"ruben mino"@en,"Barcelona"@en
<http://bk.sport.owl#ruben-mino>,<http://bk.sport.owl#barcelona-fc>,"Rub\u00C3\u00A9n Mi\u00C3\u00B1o"@en,"Barcelona"@en
<http://bk.sport.owl#ruben-mino>,<http://bk.sport.owl#fc-politehnica-iasi>,"ruben mino"@en,"FC Politehnica Iasi"@en
<http://bk.sport.owl#ruben-mino>,<http://bk.sport.owl#fc-politehnica-iasi>,"Rub\u00C3\u00A9n Mi\u00C3\u00B1o"@en,"FC Politehnica Iasi"@en
<http://bk.sport.owl#ruben-mino>,<http://bk.sport.owl#barcelona>,"ruben mino"@en,"Barcelona"@en
<http://bk.sport.owl#ruben-mino>,<http://bk.sport.owl#barcelona>,"Rub\u00C3\u00A9n Mi\u00C3\u00B1o"@en,"Barcelona"@en
<http://bk.sport.owl#chidi-dauda-omeje>,<http://bk.sport.owl#gif-sundsvall>,"chidi dauda omeje"@en,"GIF Sundsvall"@en
<http://bk.sport.owl#chidi-dauda-omeje>,<http://bk.sport.owl#gif-sundsvall>,"Chidi Dauda Omeje"@en,"GIF Sundsvall"@en
<http://bk.sport.owl#dejan-lovren>,<http://bk.sport.owl#liverpool-fc>,"dejan lovren"@en,"Liverpool"@en
<http://bk.sport.owl#dejan-lovren>,<http://bk.sport.owl#liverpool-fc>,"Dejan Lovren"@en,"Liverpool"@en
<http://bk.sport.owl#dejan-lovren>,<http://bk.sport.owl#liverpool-fc>,"Lovren","Liverpool"@en
<http://bk.sport.owl#dejan-lovren>,<http://bk.sport.owl#liverpool>,"dejan lovren"@en,"Liverpool FC"@en
<http://bk.sport.owl#dejan-lovren>,<http://bk.sport.owl#liverpool>,"dejan lovren"@en,"Liverpool"@en
<http://bk.sport.owl#dejan-lovren>,<http://bk.sport.owl#liverpool>,"Dejan Lovren"@en,"Liverpool FC"@en
<http://bk.sport.owl#dejan-lovren>,<http://bk.sport.owl#liverpool>,"Dejan Lovren"@en,"Liverpool"@en
<http://bk.sport.owl#dejan-lovren>,<http://bk.sport.owl#liverpool>,"Lovren","Liverpool FC"@en
<http://bk.sport.owl#dejan-lovren>,<http://bk.sport.owl#liverpool>,"Lovren","Liverpool"@en
<http://bk.sport.owl#mattijs-branderhorst>,<http://bk.sport.owl#willem-ii-tilburg>,"Mattijs Branderhorst"@en,"Willem II Tilburg"@en
<http://bk.sport.owl#vincent-laurini>,<http://bk.sport.owl#acf-fiorentina>,"Vincent Laurini"@en,"ACF Fiorentina"@en
<http://bk.sport.owl#vincent-laurini>,<http://bk.sport.owl#acf-fiorentina>,"vincent laurini"@en,"ACF Fiorentina"@en
<http://bk.sport.owl#vincent-laurini>,<http://bk.sport.owl#acf-fiorentina>,"Laurini","ACF Fiorentina"@en
<http://bk.sport.owl#fod\u00E9-ballo-tour\u00E9>,<http://bk.sport.owl#losc-lille>,"Fod\u00E9 Ballo-Tour\u00E9"@en,"LOSC Lille"@en
<http://bk.sport.owl#hlib-hrachov>,<http://bk.sport.owl#chornomorets-odessa>,"Hlib Hrachov"@en,"Chornomorets Odessa"@en
<http://bk.sport.owl#hlib-hrachov>,<http://bk.sport.owl#chornomorets-odessa>,"hlib hrachov"@en,"Chornomorets Odessa"@en
