b,a,la,lb
<http://bk.sport.owl#ben-amos>,<http://bk.sport.owl#ben-amos>,"Ben Amos"@en,"Ben Amos"@en
<http://bk.sport.owl#ben-amos>,<http://bk.sport.owl#derik-osede>,"Derik Osede"@en,"Ben Amos"@en
<http://bk.sport.owl#ben-amos>,<http://bk.sport.owl#oscar-threlkeld>,"Oscar Threlkeld"@en,"Ben Amos"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion-fc>,"West Bromwich Albion"@en,"Oriol Romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion-fc>,"West Bromwich Albion"@en,"oriol romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion-fc>,"West Bromwich Albion"@en,"Romeu"
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Southampton"@en,"Oriol Romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Southampton"@en,"oriol romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Southampton"@en,"Romeu"
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Southampton FC"@en,"Oriol Romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Southampton FC"@en,"oriol romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Southampton FC"@en,"Romeu"
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion>,"West Bromwich Albion"@en,"Oriol Romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion>,"West Bromwich Albion"@en,"oriol romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion>,"West Bromwich Albion"@en,"Romeu"
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton-fc>,"Southampton"@en,"Oriol Romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton-fc>,"Southampton"@en,"oriol romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton-fc>,"Southampton"@en,"Romeu"
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#real-madrid>,"Real Madrid"@en,"Oriol Romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#real-madrid>,"Real Madrid"@en,"oriol romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#real-madrid>,"Real Madrid"@en,"Romeu"
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#saints>,"Saints"@en,"Oriol Romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#saints>,"Saints"@en,"oriol romeu"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#saints>,"Saints"@en,"Romeu"
<http://bk.sport.owl#emerson>,<http://bk.sport.owl#ben-amos>,"Ben Amos"@en,"Emerson"@en
<http://bk.sport.owl#emerson>,<http://bk.sport.owl#ben-amos>,"Ben Amos"@en,"emerson"@en
<http://bk.sport.owl#emerson>,<http://bk.sport.owl#derik-osede>,"Derik Osede"@en,"Emerson"@en
<http://bk.sport.owl#emerson>,<http://bk.sport.owl#derik-osede>,"Derik Osede"@en,"emerson"@en
<http://bk.sport.owl#emerson>,<http://bk.sport.owl#oscar-threlkeld>,"Oscar Threlkeld"@en,"Emerson"@en
<http://bk.sport.owl#emerson>,<http://bk.sport.owl#oscar-threlkeld>,"Oscar Threlkeld"@en,"emerson"@en
<http://bk.sport.owl#westham>,<http://bk.sport.owl#westham>,"West Ham"@en,"West Ham"@en
