a,b,la,lb
<http://bk.sport.owl#ben-amos>,<http://bk.sport.owl#ben-amos>,"Ben Amos"@en,"Ben Amos"@en
<http://bk.sport.owl#ben-amos>,<http://bk.sport.owl#derik-osede>,"Ben Amos"@en,"Derik Osede"@en
<http://bk.sport.owl#ben-amos>,<http://bk.sport.owl#oscar-threlkeld>,"Ben Amos"@en,"Oscar Threlkeld"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion-fc>,"Oriol Romeu"@en,"West Bromwich Albion"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion-fc>,"oriol romeu"@en,"West Bromwich Albion"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion-fc>,"Romeu","West Bromwich Albion"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Oriol Romeu"@en,"Southampton"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Oriol Romeu"@en,"Southampton FC"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"oriol romeu"@en,"Southampton"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"oriol romeu"@en,"Southampton FC"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Romeu","Southampton"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton>,"Romeu","Southampton FC"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion>,"Oriol Romeu"@en,"West Bromwich Albion"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion>,"oriol romeu"@en,"West Bromwich Albion"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#west-bromwich-albion>,"Romeu","West Bromwich Albion"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton-fc>,"Oriol Romeu"@en,"Southampton"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton-fc>,"oriol romeu"@en,"Southampton"@en
<http://bk.sport.owl#oriol-romeu>,<http://bk.sport.owl#southampton-fc>,"Romeu","Southampton"@en
